L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
4996997,0,2606,2166,853315,3952,345,990,2572,2163,187580042,461923330,50313051
4925908,1,2491,2043,854593,2586,373,1002,4974,2199,188913615,453681382,50275115
5008165,1,2564,2646,873570,10411,971,1003,9764,2245,189345475,472266083,50314609
4602966,9,2374,2213,825118,5144,480,1011,3909,2234,190071149,472422198,50281064
4733872,0,2797,2254,774507,3789,405,974,3147,2154,188591706,475158345,50315469
4513633,13,10508,2240,817553,3130,543,924,11085,2350,180368841,451217787,50281700
4940965,2,2774,2139,861617,13245,821,1017,9430,2310,187930992,467211962,50326935
4936354,16,2913,2875,818420,10288,668,1012,7207,2187,190412376,468885356,50294305
4857611,0,2676,2153,839099,3138,373,990,3181,2169,188927648,469869325,50308950
4717629,8,2404,2151,856596,3271,341,1023,5680,2259,190054448,475954675,50273736
4745174,0,2580,2132,874449,7429,645,997,7365,2129,188730302,473080288,50317631
5173684,31,4151,3525,877634,8820,470,995,6427,2190,190347687,469083467,50282713
5234466,29,3988,2924,844834,4692,561,1603,5702,2259,189459993,461543146,50278550
4814739,18,4320,2176,874798,5584,648,1033,7435,2304,187454009,465852738,50288442
4776280,8,4272,3551,875800,6351,485,1019,5456,3569,189044240,480705284,50309586
5447588,10,2928,2417,885199,4018,411,1048,2693,2801,189079818,461151515,50282076
8885776,78,1975,4,140808,7610,2831,113,18438,202184,188318668,476872198,50323105
8834138,9,1535,8,135288,7713,2780,34,8066,0,185424399,489713660,50300914
8809176,7,1963,0,134620,7690,2852,37,8272,5,187765487,496168314,50324954
6857139,1,1875,0,136874,7791,3025,31,13562,5,188285759,481588040,50269317
4682812,3,3051,11,284044,9495,3238,6,9675,24,188535194,470259510,50306513
4425953,3,2737,0,287796,10513,3633,15,10234,6,187990605,470548101,50289202
4400579,0,2556,22,275412,8845,3339,6,9188,18,189023891,471667981,50311873
4446662,11,3061,19,291519,10913,3359,18,8396,12,189196568,472970445,50280527
4717080,7,2816,11,280701,8758,3261,3,7620,0,189354163,470073947,50318294
4352515,26,3579,15,265272,12904,3309,6,15985,31,174853550,434982382,50283397
9396519,78,4226,24,250441,10679,3311,9,9997,218466,188700641,476261002,50327384
